0 1.894862
1 1.853701
2 1.896261
3 3.494581
4 2.677183
5 2.260664
6 2.417788
7 2.961030
8 2.112440
9 2.162360
10 1.936724
11 2.481736
12 2.623835
13 1.992586
14 2.041984
15 1.981946
16 2.243501
17 2.197292
18 2.679739
19 3.857578
20 7.914548
21 7.622653

0 2.684081
1 2.626295
2 2.793958
3 2.456524
4 2.771914
5 2.751339
6 2.286698
7 2.365034
8 3.258545
9 3.531161
10 3.294027
11 4.189620
12 3.984036
13 4.878299
14 3.799023
15 3.703149
16 4.624950
17 4.350931
18 4.910567
19 6.139745
20 10.084888
21 9.840453

0 1.956656
1 2.140702
2 2.019951
3 1.721250
4 1.981262
5 1.707222
6 1.799061
7 1.906432
8 1.992909
9 2.189132
10 2.056817
11 2.086579
12 2.275962
13 2.983457
14 4.337164
15 4.105241
16 5.891590
17 6.792266
18 6.841411
19 7.634516
20 10.838174
21 11.214747

0 2.065192
1 1.894783
2 1.937886
3 1.969897
4 2.298909
5 2.420972
6 3.699528
7 4.799981
8 2.139274
9 3.479840
10 4.054197
11 2.617445
12 2.585459
13 3.079967
14 5.492338
15 4.473501
16 6.770560
17 7.991132
18 6.871194
19 8.647394
20 10.353322
21 10.302919

0 2.153925
1 1.934196
2 2.283373
3 1.961017
4 1.958827
5 1.827895
6 2.209209
7 2.260179
8 2.653472
9 4.496588
10 4.954400
11 5.833855
12 6.955384
13 6.857361
14 7.961646
15 11.041203
16 11.654381
17 11.464302
18 11.736151
19 12.074471
20 10.868184
21 10.972780

0 2.458578
1 4.217023
2 4.882716
3 4.777056
4 5.394320
5 6.108363
6 6.305384
7 6.343791
8 6.069508
9 7.241838
10 7.933940
11 9.055705
12 9.447742
13 8.886672
14 10.282085
15 10.888314
16 11.421937
17 12.187097
18 11.775183
19 11.976458
20 11.330935
21 10.125178

